500 30000
123 431 93881
91 431 91519
73 91 15777
123 474 51940
91 204 59544
431 444 53169
62 431 16943
431 491 76270
18 474 99416
123 176 9232
150 491 45997
168 204 46119
426 444 64408
73 205 25446
18 49 81724
91 217 721
217 249 97008
249 265 80093
26 49 81099
62 203 62951
73 401 22020
73 476 44932
95 476 46448
401 420 70661
426 479 41020
279 401 19478
176 268 84902
79 279 9634
31 205 60767
123 201 88626
73 297 16589
91 327 52710
95 462 89542
31 275 56364
138 401 50925
73 187 73451
265 293 86787
123 326 45442
79 180 44924
176 477 99111
95 234 40489
176 497 76426
353 401 71251
389 474 54860
332 426 71537
123 396 73416
205 301 2508
180 403 39958
31 404 59348
203 430 85351
150 250 5733
123 493 71541
389 393 89062
136 217 89461
327 398 88808
95 163 39409
93 326 10006
187 315 69808
38 477 8955
161 205 31440
205 446 87316
420 470 24562
26 433 98538
170 203 65756
98 462 65838
132 462 228
91 449 61183
35 431 75247
297 494 22349
54 279 55149
176 352 35092
44 470 43358
206 297 98359
149 491 35920
56 446 14405
265 482 86199
150 209 16768
133 396 13372
31 500 47624
114 250 23662
176 240 32794
64 403 46248
246 332 74359
332 364 24601
4 497 3882
44 486 93631
33 54 66531
150 303 39592
250 451 21182
133 460 45112
204 405 33863
298 404 21416
123 382 7384
464 482 38884
93 167 69098
398 459 75932
122 403 59884
21 327 97895
148 404 45651
293 450 93825
138 253 58428
200 298 37124
118 426 17707
49 189 50681
216 477 57448
275 344 44430
216 419 39321
101 123 7457
136 218 67454
218 409 55933
249 417 61730
298 481 81235
39 444 24354
364 489 3390
231 344 64444
200 314 82704
71 122 53941
212 240 82686
266 279 40872
18 19 56796
266 338 81060
64 223 31234
372 430 50203
349 372 7657
148 440 39030
275 428 16200
306 398 11583
78 189 97894
249 329 10253
41 449 13749
170 312 18857
265 294 51665
95 258 4463
287 482 11195
18 400 40719
50 204 29163
92 481 56555
63 234 8373
365 409 13854
287 425 36839
195 250 47916
28 206 38696
338 410 26316
167 341 92375
30 462 28644
109 459 93327
132 485 66083
63 390 77338
238 470 41101
35 280 48967
29 410 48854
451 499 46910
167 439 78796
155 315 75137
144 477 70321
78 380 15312
2 380 51631
28 422 28415
43 306 37204
37 417 55675
227 449 66608
38 126 40
85 187 38246
405 421 87372
125 344 40660
138 371 13027
79 442 52224
142 446 99764
214 217 98167
193 390 7221
420 495 74339
148 328 10832
249 278 4297
298 487 97807
52 217 8088
17 39 8734
361 487 13069
308 446 13509
62 135 68240
261 426 49370
13 52 89215
110 396 81756
156 214 47214
38 143 26389
318 460 45753
258 385 57068
153 477 91856
79 309 79476
103 440 88050
156 207 42605
240 254 58716
329 466 9061
146 489 72487
15 122 52955
7 249 75061
234 386 51344
34 400 72454
306 362 26169
49 221 60482
225 479 78291
28 131 89346
142 483 56400
138 367 43647
108 118 76829
396 399 72096
142 346 75284
413 442 78953
273 362 64228
175 390 74301
25 485 52447
260 446 28729
66 170 24549
284 404 68674
6 329 22713
5 62 8068
61 491 42838
117 482 61613
124 327 62125
40 138 33731
37 392 68921
131 220 7988
32 265 68394
276 352 36964
33 46 22451
124 498 71692
53 439 70170
301 304 91254
338 438 16599
10 433 67286
132 237 43702
35 104 32619
90 431 92077
2 300 95407
2 478 10171
331 422 39678
63 429 22654
114 465 2897
35 435 61617
21 70 74417
222 260 43034
170 213 40607
82 278 5748
193 453 77733
97 268 49983
129 136 90191
55 122 78854
108 202 37113
43 457 96094
314 374 75664
34 169 44453
234 270 55152
52 454 87424
67 238 1028
183 491 17017
211 464 21485
45 382 8438
190 315 34799
239 474 51880
25 182 47018
68 146 9666
279 324 86029
119 410 86267
163 418 45744
82 194 58450
129 434 49314
148 292 25240
108 319 3236
195 226 82497
418 467 6458
181 479 28131
94 146 48562
62 115 8061
244 276 7291
5 74 24303
193 415 56521
140 280 52858
243 477 81515
29 152 79673
6 113 23392
177 217 42553
217 424 11501
23 155 36022
65 124 8887
9 425 93280
41 171 59989
368 462 27229
159 211 28233
77 132 24541
58 203 54196
12 135 13970
278 310 21236
24 136 89424
338 378 39603
229 483 93036
49 81 99492
59 223 42843
47 110 29672
28 335 60332
31 121 65066
49 255 98685
51 372 97212
158 266 10541
133 384 79467
181 333 91621
172 206 81355
98 397 2775
132 373 67415
285 403 8892
197 326 42503
98 191 25066
208 211 14080
282 378 81581
75 168 52818
382 469 63408
111 405 87170
116 474 79869
5 80 61369
244 336 20079
209 251 90886
149 414 21767
390 407 3669
373 402 47792
122 345 95000
73 248 35665
450 458 96334
294 357 55209
203 325 25287
379 498 99245
373 411 64535
68 337 32108
160 449 68956
296 374 27237
219 273 93343
154 462 61696
24 252 5817
364 490 86762
252 412 35811
161 256 36566
151 319 78882
124 383 59440
200 377 26377
247 414 38091
472 497 3403
286 310 19878
241 485 61675
70 224 62289
72 177 59729
216 369 77074
209 242 48798
130 275 61198
167 456 3870
120 138 4803
278 289 69020
240 313 92988
279 381 1604
177 441 23654
307 368 66017
87 309 63971
51 305 92213
100 377 47253
24 342 38797
54 488 19880
363 369 75757
235 418 92012
376 456 20677
193 370 6024
98 264 47022
27 380 23894
139 254 42975
108 283 83553
366 431 95786
437 489 38863
84 294 54955
307 463 23126
184 368 14420
112 175 64511
20 104 57318
384 473 81825
277 405 50865
23 334 11321
57 400 83002
1 91 70268
88 500 68943
269 397 34446
112 323 47086
235 484 17008
117 274 27422
80 96 17799
148 475 11293
69 181 10732
348 376 61068
178 310 57823
188 451 51837
162 463 98664
192 265 82421
360 362 42782
294 395 91401
123 317 4880
45 257 39501
127 170 64062
225 330 83064
215 389 51333
167 186 38447
147 441 48590
36 462 91002
179 476 71410
115 427 10647
338 350 2478
20 107 56987
107 347 19024
3 364 39907
272 328 29522
252 359 96711
46 281 18334
55 432 67404
32 492 50084
322 390 24172
448 495 25260
86 359 76780
96 196 28127
471 483 65498
441 452 19301
311 411 70013
230 484 91337
290 404 64639
457 468 78819
288 333 24565
14 464 76469
165 473 87353
214 245 11013
166 268 98761
9 199 6036
137 329 99763
37 320 71035
11 172 18469
389 394 11393
83 378 67664
141 499 76294
402 443 42028
8 133 6346
28 76 49513
151 343 34274
47 174 4553
139 447 9466
387 453 89161
374 455 86759
436 498 9197
22 158 44268
42 92 97136
340 485 30286
99 433 30037
432 461 24704
227 299 24015
233 417 90607
16 250 68844
8 262 18576
77 406 60308
161 210 23868
100 480 45750
354 386 51526
295 334 52409
175 496 64393
271 296 17732
232 466 8271
2 291 15274
46 375 57190
