1000 100000
96 339 630772
96 996 84292
96 966 506768
22 996 210230
22 707 666383
22 939 825414
479 966 289040
745 996 882739
623 939 602044
791 939 905099
96 928 634929
24 339 535808
479 776 628645
296 928 642403
51 623 242010
24 477 986380
279 296 623402
51 329 204792
745 971 108012
22 54 760273
645 966 719995
24 758 184904
166 477 169984
466 707 488896
279 953 701732
189 477 254880
189 345 280983
248 623 791258
371 645 866564
623 887 960095
122 939 600435
142 791 616361
166 381 869551
296 906 547814
22 613 757412
874 953 486909
466 694 922043
142 184 538850
24 814 708797
296 640 441408
279 590 494442
874 998 328126
442 874 619807
296 674 274228
479 959 921404
117 329 706455
640 960 817198
296 981 981798
790 996 330293
121 166 780964
280 959 758372
296 323 573912
117 274 153404
242 674 545227
166 330 185262
142 913 440737
966 987 468522
323 672 321072
913 978 485422
747 971 702612
645 917 106265
323 340 495524
96 876 405173
793 987 87652
559 776 11290
694 732 170371
104 279 746609
611 814 478589
645 991 44886
122 806 119051
104 306 96620
90 611 335794
600 613 424077
230 758 677934
479 655 696464
709 913 953422
709 755 536749
299 645 363192
658 981 315337
130 939 739225
30 306 347422
721 991 213547
728 793 405526
834 876 632073
194 672 585511
134 194 20191
280 743 653318
58 960 982086
288 981 571856
125 745 902724
274 944 709361
68 280 640653
512 694 709510
498 732 543611
805 991 425168
122 467 214440
538 747 575067
687 743 661433
466 582 97045
694 993 189126
551 600 677382
122 337 698746
279 890 302490
793 965 45066
467 999 232264
274 407 351282
273 965 357964
242 789 635794
745 842 680331
153 747 100298
527 707 117837
527 817 30388
233 306 500101
694 815 268426
258 917 501893
700 876 25394
395 991 327870
329 883 498692
497 876 23450
262 906 820418
381 392 327028
883 934 522172
931 953 453064
676 890 468640
809 953 750864
316 743 475963
340 722 164017
66 814 573791
754 978 967787
130 443 81456
19 96 750585
330 520 621419
860 931 560329
14 806 904351
633 931 825222
422 953 326997
701 791 333788
23 658 277258
30 986 101569
265 874 34212
687 912 271121
101 913 280863
317 658 149380
937 998 628719
600 620 382475
90 213 335305
66 150 274101
30 168 944032
966 973 435165
299 855 279686
88 422 456573
336 934 130885
339 363 66675
582 935 533347
670 973 903949
721 943 931110
153 463 869524
330 775 140093
19 351 455379
90 598 826914
299 774 779371
205 917 891992
40 306 399696
863 943 747096
96 542 563221
521 960 667901
479 896 737148
748 876 370998
96 783 923429
450 743 923656
212 863 812278
93 330 773515
270 965 23711
248 494 544482
279 644 187017
115 336 465771
633 651 208977
8 288 879152
476 494 867457
916 917 313190
19 485 943142
104 544 85619
625 996 522737
620 665 337352
275 527 458608
121 903 207321
17 24 895123
345 565 167461
275 678 400565
219 351 790749
316 569 440757
288 570 544962
460 774 177845
14 427 799429
265 751 149237
579 645 389706
93 252 332859
728 825 484467
913 947 878981
565 618 215039
479 949 930209
542 647 812850
288 713 597820
351 990 72372
306 926 926951
658 813 987702
242 844 312359
237 949 133130
497 786 79019
302 672 451776
386 450 972146
188 774 8269
427 885 744596
68 548 25032
115 955 308305
296 561 485998
91 121 437675
350 935 566851
48 497 388171
477 740 699114
125 388 671496
109 674 680302
761 934 617845
59 233 990703
172 883 627184
624 625 419240
272 600 592961
22 243 559435
58 254 21973
626 793 718283
45 463 973952
195 329 711044
365 561 943534
460 592 577155
262 984 880907
22 897 486508
14 888 743970
281 544 504981
340 995 753709
439 479 786179
616 624 397237
692 786 411106
789 836 779997
246 395 536277
163 665 375724
357 995 767580
61 665 323739
59 725 860482
93 348 102349
400 758 356860
262 269 819855
750 876 153788
43 949 967260
274 920 178346
453 494 73424
266 709 290756
456 722 844850
83 701 280782
314 670 70986
150 511 46327
102 949 302849
666 916 527240
58 328 536438
701 909 479679
171 670 590489
19 526 679485
117 878 862563
175 817 641154
335 582 755790
528 776 617461
75 345 393604
314 451 254472
616 838 674116
175 214 161161
561 607 527428
790 940 130953
254 366 453681
117 459 96092
202 329 601429
13 966 259778
101 763 672171
561 617 823897
246 504 740804
369 494 4697
182 676 336224
634 789 520620
373 666 226766
806 850 660080
178 805 545573
73 504 189463
81 959 897751
435 874 685660
81 686 250564
272 781 275576
91 413 473221
460 663 556134
537 996 379541
14 576 288929
7 366 624896
303 775 376460
303 824 819566
329 629 180826
815 985 612944
439 852 895159
219 421 914945
511 612 15225
47 707 419053
401 781 849167
199 302 25747
88 875 253419
189 688 480873
219 486 579426
511 792 499110
496 626 444848
470 953 921525
466 628 667822
309 357 988033
844 866 413505
494 800 318413
896 1000 358240
616 816 804869
366 933 978159
97 329 918418
88 295 395819
299 587 778679
603 692 434079
253 981 206695
374 743 573719
240 620 223340
496 808 283465
651 914 635839
147 960 62291
270 915 866440
390 688 452212
282 299 951927
714 740 713911
626 660 136351
738 751 344422
88 539 420434
812 933 899279
100 401 517116
896 901 317418
511 573 486332
27 700 550159
12 874 646122
658 840 593512
88 958 311859
400 787 88744
745 765 10299
403 987 398587
273 597 694987
83 803 268635
177 279 37976
41 587 86567
588 781 29543
312 935 212306
736 939 167558
67 765 655521
848 966 43285
158 373 335303
189 974 659978
112 265 463414
690 701 500723
370 809 292021
237 614 203001
164 629 793538
199 480 239050
586 640 629713
82 765 448789
224 521 524983
682 878 135873
51 326 127797
776 982 544796
404 582 993743
275 723 164206
309 550 224078
744 745 684628
13 638 733725
623 737 184626
75 95 985123
12 244 367509
80 991 212379
533 626 801026
156 270 531428
338 450 941627
112 821 254350
143 618 452469
147 376 3939
118 626 400252
136 592 29659
370 797 506554
704 875 930001
497 898 341927
748 989 510053
46 104 101019
252 256 264265
13 210 378855
664 990 186754
407 832 367938
131 765 667888
160 533 845884
74 917 691208
711 909 134122
87 134 107832
308 664 988503
74 862 135864
306 389 524099
288 578 718157
387 573 194026
453 545 87883
23 567 636085
478 955 949180
486 946 605175
38 88 879300
363 952 207103
838 992 438491
56 350 565772
286 339 224900
651 979 851738
130 430 445179
285 421 805355
109 474 709104
384 838 97361
155 435 248745
267 389 548022
512 602 837396
427 954 406872
176 852 177541
183 214 481102
228 280 872270
566 832 731174
229 958 954240
29 797 705350
296 956 632693
241 971 20212
111 323 32769
127 655 858541
95 681 849417
164 206 850707
819 917 921483
574 758 840755
201 797 687971
227 986 949425
97 260 862284
715 913 197024
24 416 857470
46 440 649447
48 174 645077
440 859 310066
53 613 491828
498 691 558049
778 806 586491
214 557 190412
546 842 323875
604 954 178098
106 778 471541
484 984 40604
572 616 574362
491 1000 961425
295 867 839509
787 969 248717
354 658 706603
529 776 214236
448 982 323857
516 848 979983
114 306 121222
234 559 928337
368 376 966151
16 612 732145
6 199 420266
534 660 376136
613 718 652407
646 933 252559
661 953 997920
822 920 983410
148 339 234144
329 837 684832
129 306 475734
103 690 338872
308 508 401657
474 581 574041
274 438 930956
234 977 847371
327 440 226479
395 726 71130
86 582 262219
346 538 355311
132 783 180190
776 951 706701
646 734 894464
232 529 237503
545 900 553388
196 618 679381
231 508 455819
472 670 184622
727 958 983630
185 550 419745
717 986 990710
660 729 773793
68 846 446797
865 960 635224
518 781 958334
244 412 339203
426 944 504188
14 452 375504
185 652 992068
53 877 504466
94 422 43375
223 520 794374
361 956 858447
234 950 164229
811 977 37518
262 784 914593
184 589 960028
196 263 981262
464 990 489613
8 680 74649
404 780 235076
152 765 668565
301 687 778886
152 549 998274
274 287 769923
88 857 530148
372 579 337223
806 968 343189
592 662 987397
260 608 454720
33 66 8226
162 809 403014
372 568 522750
455 717 848606
140 1000 351147
41 318 636473
523 966 751861
280 871 657626
216 299 350805
304 477 566611
251 803 937619
329 347 937301
1 7 190531
29 52 266410
2 815 229508
209 754 792368
138 811 993114
698 721 531046
250 660 964200
42 978 895011
190 326 692973
444 715 52794
279 391 365447
505 789 602122
48 482 847658
455 753 956840
501 681 282007
371 961 609479
370 767 610526
99 160 278514
407 517 593686
579 653 95948
48 311 331984
586 675 688370
21 937 524629
700 988 14851
110 600 793844
172 441 364117
622 825 163390
146 626 395373
220 389 320261
239 775 911556
438 910 123461
206 284 884510
167 252 261421
98 106 688176
