400 20000
301 379 25501
379 395 56817
212 395 22882
67 379 55579
212 281 24031
3 281 93994
67 90 23853
165 212 72062
131 379 89189
67 233 26350
82 301 53067
276 281 28570
131 361 11220
325 395 36252
286 325 11049
325 375 86292
3 230 11881
50 212 33017
291 379 82270
206 375 99729
206 339 30629
281 283 38409
142 230 61527
46 212 55535
52 233 69684
50 264 18232
211 230 30347
142 376 73588
117 375 10390
50 164 5691
212 246 86847
97 246 73352
30 276 86966
233 260 758
240 276 28765
199 325 38246
211 313 41413
240 330 92145
82 193 75316
184 240 29190
233 272 33136
156 240 80866
281 392 90983
3 366 51973
46 150 72416
76 276 45983
175 276 67904
186 375 70196
115 186 40443
66 211 89353
132 283 95278
27 175 20774
208 272 59385
186 398 25829
313 373 79266
313 374 27268
178 186 67028
112 281 56203
112 255 33501
76 319 38789
150 306 88453
120 325 66122
36 330 10596
23 150 92978
26 366 49304
246 310 59099
23 74 61760
150 262 77899
78 283 95802
175 253 62841
10 339 61187
4 26 65352
188 330 54946
194 339 38344
105 193 43093
50 154 11819
136 156 93311
30 300 42581
67 114 50675
154 304 61648
276 318 51855
157 188 1308
90 285 85374
49 131 89527
240 282 91900
285 360 18207
114 248 95113
33 361 82769
38 255 69910
45 186 95325
169 366 66807
26 42 15973
78 383 33113
253 338 86768
255 256 88888
74 265 30282
150 341 76353
304 367 71759
190 283 17566
95 375 75542
93 330 58298
115 166 37212
16 46 50821
203 398 75246
82 185 79854
67 336 98641
74 393 91499
265 334 3796
33 295 86907
26 200 2986
48 114 10250
187 379 96098
87 117 88093
76 151 33755
116 230 29664
6 169 47307
48 263 41715
16 258 24067
28 184 37990
27 77 45012
262 288 44549
28 354 67855
227 367 29606
180 255 20404
4 232 81701
232 317 14608
230 397 30746
11 392 67734
111 341 17538
110 187 62141
156 162 57188
150 342 58861
229 354 20213
329 398 90442
16 350 9991
248 372 28327
258 347 50913
190 377 63160
37 178 17450
94 291 70740
164 220 79126
46 243 74236
28 369 15324
28 47 94155
317 348 84963
16 309 49584
142 302 14311
98 361 33287
100 393 50537
81 262 92278
177 291 56606
238 376 76632
38 209 36069
134 209 28022
175 294 3806
164 221 57897
128 230 31850
82 356 75414
182 256 83668
76 340 8328
148 379 45380
37 70 57479
2 295 43497
42 173 9295
201 347 47307
6 307 80148
21 302 57642
128 234 41774
142 332 96765
192 262 41125
244 360 8100
187 394 32744
22 142 12799
12 164 98470
15 276 89595
101 148 4880
125 369 8703
90 196 81887
53 372 671
24 81 87060
85 115 96516
43 393 13834
187 198 4011
1 317 85634
78 129 8310
198 207 38929
26 171 83369
138 229 12541
228 240 68838
15 56 97000
220 331 76437
94 216 88081
186 349 26348
145 319 64927
94 155 46370
192 362 98678
160 376 3669
190 213 89269
267 360 69162
114 143 80750
295 323 40300
316 340 91189
224 310 8630
334 353 55827
261 262 11710
14 93 26297
172 196 96072
313 320 39616
76 122 12911
126 190 73494
208 251 35358
4 84 61147
7 323 2522
219 253 62631
120 284 83106
234 293 4450
164 351 86261
37 365 43477
50 324 72269
196 296 48466
78 363 96747
33 72 13544
189 331 87921
289 307 57910
370 374 39892
255 355 24237
32 138 9146
222 330 24981
1 167 21828
136 298 30435
140 281 47255
264 391 90806
91 100 18512
27 257 87730
29 101 61574
346 376 63555
259 338 56024
207 303 26400
16 147 50442
275 319 10584
314 319 85103
235 293 25713
121 353 66504
83 101 8007
171 237 69556
100 215 52154
146 244 56616
235 266 87140
272 368 19111
20 24 80667
223 383 75731
195 257 55812
163 341 77926
16 280 31407
111 242 3779
215 292 30840
331 343 27531
75 280 31020
103 340 47981
69 280 40769
265 378 49317
136 252 97633
317 400 71597
32 270 67363
34 378 48711
18 235 25523
3 271 80170
274 397 6333
152 338 37420
75 322 21238
137 233 14700
214 314 98448
228 344 50186
74 335 48424
44 335 60107
132 133 89234
244 326 2226
107 353 40216
269 288 74077
375 384 64682
7 124 74072
34 312 73787
96 111 27108
164 396 13665
31 33 79816
308 322 34948
262 268 77576
247 322 70845
95 277 96342
170 272 41261
142 239 17976
90 382 48963
119 206 65069
239 390 65647
118 326 77165
35 325 40569
238 380 65055
56 183 13515
233 299 30811
60 206 48677
5 270 94470
126 158 7168
254 376 67691
40 148 76265
204 240 9750
127 239 28289
65 175 93964
305 342 66079
230 290 97171
75 337 50656
335 357 88072
5 388 91477
133 249 45862
92 392 77761
68 165 52447
31 225 76312
176 222 6668
118 297 77012
62 313 29748
240 245 13214
61 76 94192
87 89 79367
142 279 58985
227 364 15666
333 375 77478
236 312 90243
144 338 92323
13 259 2773
9 400 74316
17 291 52892
113 238 36793
139 216 66220
16 153 90168
174 267 70956
352 378 8992
30 387 31203
218 366 97379
86 194 56698
