200 10000
2 195 2044
146 195 43992
77 146 76569
4 77 36413
38 146 12694
110 146 71185
2 32 93297
38 52 80962
52 54 81412
121 146 96232
38 176 50147
147 195 70332
52 68 11335
168 176 70608
31 176 7424
52 72 33640
23 52 23938
70 77 29025
86 195 75920
158 168 64363
23 101 45849
68 148 57463
87 101 2741
101 155 50383
4 35 52557
144 147 55146
54 59 47489
47 110 37047
141 146 29919
68 152 59846
67 77 98626
93 152 51730
121 200 57673
87 140 23749
165 200 42109
77 95 15207
2 9 29881
59 187 86697
6 121 1277
101 156 88449
182 187 54440
65 67 80360
34 187 79071
155 190 58754
142 152 38260
39 101 46514
44 156 25876
94 190 55787
39 198 59042
8 198 11858
95 139 67259
110 178 78537
136 168 99767
42 94 40651
43 86 89039
68 128 3538
164 195 38286
32 175 47455
59 154 89309
61 68 52840
109 121 90192
125 142 74429
81 182 78081
44 122 51193
13 67 68885
58 147 69517
26 81 74050
35 53 38521
20 77 79943
129 168 45893
67 196 99181
94 98 60698
75 156 76049
95 189 2484
97 168 31385
40 94 48000
45 158 99355
45 108 75214
129 160 23468
43 106 10258
19 68 61783
153 198 65283
2 27 82505
38 133 61846
6 132 38143
24 156 94540
157 189 24471
48 190 44759
41 190 54937
165 197 57854
85 139 30379
26 127 31348
99 109 65508
47 123 50143
2 73 54727
86 117 58924
15 31 78899
30 157 86078
61 191 64333
10 187 50867
110 181 12837
116 136 58426
83 85 94902
103 148 3053
101 167 94987
140 188 76168
59 115 180
134 164 10268
115 186 59110
33 34 9253
71 139 42260
58 60 78885
30 90 45507
34 112 41981
21 60 74972
61 172 96780
65 120 23283
62 101 77373
36 152 39792
17 197 36520
38 184 38166
157 174 44648
71 92 55874
54 119 24012
49 157 73559
57 146 69883
42 102 85024
51 73 34433
46 164 5232
64 102 46873
44 151 68236
114 129 12387
102 194 79145
79 121 88624
14 156 6309
102 105 72085
7 32 14008
23 88 47242
5 156 41666
20 169 7959
58 89 64694
2 18 22939
25 105 84084
37 105 93131
163 198 31491
104 198 30666
164 177 89443
166 190 60641
151 161 62456
56 64 70888
22 46 62876
81 84 96042
14 16 83006
9 29 47206
137 174 92414
127 193 32432
50 117 89516
167 199 42825
66 129 22891
11 142 91827
77 96 22208
12 44 57026
128 180 41388
29 111 4666
48 74 71926
105 185 36802
105 192 94026
90 149 59456
11 145 153
138 199 90650
50 170 48514
100 136 45632
131 178 27278
124 145 72564
80 189 55377
137 173 6713
4 78 15270
135 157 97879
112 183 38496
68 130 93349
28 156 19601
1 72 56138
91 109 54713
76 194 23165
118 184 58001
69 102 98358
63 136 44899
149 179 35536
143 198 47783
6 107 92801
78 162 51019
9 159 81122
86 171 35570
117 150 97138
82 120 56220
113 167 85173
78 126 31034
55 109 20842
3 63 56378
12 169 77930
63 124 2336
68 136 96137
23 59 60008
70 168 8173
12 43 97973
30 174 91643
22 120 30778
116 171 49504
14 127 37887
92 181 77309
63 171 18120
106 126 90091
85 128 49031
47 130 73878
15 168 68259
35 165 74605
77 179 43435
4 52 9036
155 200 27973
77 169 91059
27 187 11899
95 140 44805
35 179 92206
98 103 9237
53 157 60769
66 90 16
41 130 25365
32 118 27425
98 172 28774
110 128 66113
98 154 5548
20 25 34930
71 169 67791
109 116 34688
141 150 6305
19 46 61932
47 52 89947
122 156 6335
42 151 20535
28 166 80397
60 137 32803
33 152 15673
75 122 84187
59 196 18467
30 38 39951
36 194 65406
19 29 11653
129 130 36273
44 164 15511
14 139 14946
7 41 26565
118 197 66933
125 144 5665
71 184 9308
91 100 73398
45 191 33251
106 140 65191
155 187 84966
70 83 30814
23 29 98685
100 144 15676
147 169 28031
62 131 6784
79 106 69926
121 137 603
1 37 42962
53 100 95645
69 72 70789
82 131 34336
61 164 81735
100 197 69201
160 174 34329
14 69 90242
85 141 21176
46 157 29599
149 173 93301
143 188 78872
7 102 38529
114 173 9511
20 200 11794
128 151 38139
23 70 4683
31 85 81419
93 173 11705
26 186 70665
23 100 69092
41 43 81833
99 114 23892
99 191 86767
125 191 23120
10 182 34324
20 137 85351
133 156 59901
74 177 79527
51 56 73027
61 143 73630
22 168 95666
3 107 84453
43 69 20461
129 190 11220
73 109 30031
104 134 73565
91 155 22058
189 198 98710
50 191 25402
54 93 85804
87 126 9526
153 197 12581
176 189 18367
37 61 86353
15 122 12280
61 105 7145
51 149 72326
48 139 19110
16 128 93536
50 165 94976
39 172 48601
168 189 85878
93 196 66595
144 145 72238
30 191 43258
83 141 10770
142 170 29029
27 33 98301
24 162 69524
82 110 36661
15 169 39906
6 159 86068
113 187 52016
101 147 16321
127 195 86196
117 153 74620
48 171 78444
52 81 58934
32 194 15874
15 156 68525
13 80 86617
11 170 48362
21 34 23125
139 167 54367
7 61 53109
6 60 90467
18 119 48558
146 184 48941
8 79 61633
72 130 80626
19 39 76961
26 189 52438
94 159 75365
71 100 92281
18 40 23305
23 195 96588
32 63 80353
83 191 95012
93 192 12234
58 116 35070
122 158 20902
148 152 12989
138 141 88832
99 126 66815
82 117 46836
32 140 82998
139 181 76171
19 22 57054
13 180 38927
8 160 66534
58 145 37043
100 112 66361
37 161 29809
19 106 73835
45 112 86704
6 135 2966
92 176 84224
6 83 74414
23 183 6696
94 175 5712
127 194 37751
15 114 91103
163 176 43
89 120 92740
111 133 98323
18 37 88587
34 86 90000
5 52 95509
6 51 82220
69 104 34813
66 161 76683
37 156 36402
12 143 96942
133 197 82496
71 185 13952
35 41 73615
64 148 52559
60 123 99005
48 125 844
41 79 84901
63 84 2674
42 49 18573
124 125 59987
73 123 20807
22 58 46174
172 177 90763
102 104 6715
54 134 24672
108 160 87375
85 109 46456
99 116 84284
53 172 80055
17 25 81738
110 140 47132
1 179 61734
82 115 67095
139 190 89385
27 68 97752
51 180 81464
14 58 84588
95 182 91946
5 123 82010
135 182 40951
58 109 86423
196 200 62942
84 177 28609
155 178 53309
110 188 84023
133 183 96434
22 67 46903
86 87 73255
86 131 64680
93 126 46137
137 161 82998
19 44 72619
111 156 28205
16 171 93281
38 54 58423
9 123 81070
58 98 95833
28 127 67168
70 72 14672
52 150 88337
111 129 18466
40 199 9296
91 177 96134
58 167 55921
42 136 76706
185 196 9901
109 194 63349
79 198 15788
1 126 6089
13 128 31312
94 135 9170
40 135 94428
22 160 2238
155 162 84886
163 173 17012
63 83 34413
155 174 60002
16 107 43531
52 165 23944
92 173 18769
38 138 70116
72 81 45694
66 112 44725
70 118 68968
101 107 37799
